class,class_goc,converted_interaction,semantic_group_original,types_of_events,semantic_group
20,22,drug_a may increase the ototoxic activities of drug_b.,PD - Ototoxicity (increase),Pharmacodynamics, Ototoxicity 
21,23,drug_a may decrease effectiveness of drug_b as a diagnostic agent.,PD - Efficacy (decrease),Pharmacodynamics, Efficacy 
22,24,The risk of a hypersensitivity reaction to drug_b is increased when it is combined with drug_a.,Clinical event - Hypersensitivity/allergy,Clinical event , Hypersensitivity/allergy
23,25,The risk or severity of adverse effects can be increased when drug_a is combined with drug_b.,Clinical event - Other/unspecified,Clinical event , Other activity 
24,26,The risk or severity of bleeding can be increased when drug_a is combined with drug_b.,Clinical event - Haemorrhage/coagulation,Clinical event , Haemorrhage/coagulation
25,27,The risk or severity of hyperkalemia can be increased when drug_a is combined with drug_b.,Clinical event - Renal/musculoskeletal,Clinical event , Renal/musculoskeletal
26,28,The risk or severity of hypertension can be increased when drug_b is combined with drug_a.,Clinical event - Blood pressure/hemodynamic,Clinical event , Blood pressure/hemodynamic
27,29,The risk or severity of hypotension can be increased when drug_a is combined with drug_b.,Clinical event - Blood pressure/hemodynamic,Clinical event , Blood pressure/hemodynamic
28,30,The risk or severity of QTc prolongation can be increased when drug_a is combined with drug_b.,Clinical event - Arrhythmia/QT prolongation,Clinical event , Arrhythmia/QT prolongation
29,31,drug_a may decrease the anticoagulant activities of drug_b.,PD - Haemostasis/coagulation (decrease),Pharmacodynamics, Haemostasis/coagulation 
30,32,drug_a may decrease the antihypertensive activities of drug_b.,PD - Cardiovascular hemodynamic (decrease),Pharmacodynamics, Cardiovascular hemodynamic 
31,34,drug_a may decrease the bronchodilatory activities of drug_b.,PD - Respiratory (decrease),Pharmacodynamics, Respiratory 
32,36,drug_a may decrease the neuromuscular blocking activities of drug_b.,PD - CNS/psychiatric (decrease),Pharmacodynamics, CNS/psychiatric 
33,37,drug_a may decrease the sedative activities of drug_b.,PD - CNS/psychiatric (decrease),Pharmacodynamics, CNS/psychiatric 
34,38,drug_a may decrease the stimulatory activities of drug_b.,PD - CNS/psychiatric (decrease),Pharmacodynamics, CNS/psychiatric 
35,40,drug_a may increase the analgesic activities of drug_b.,PD - Other activity (increase),Pharmacodynamics, Other activity 
36,41,drug_a may increase the anticholinergic activities of drug_b.,PD - Other activity (increase),Pharmacodynamics, Other activity 
37,42,drug_a may increase the anticoagulant activities of drug_b.,PD - Haemostasis/coagulation (increase),Pharmacodynamics, Haemostasis/coagulation 
38,43,drug_a may increase the antihypertensive activities of drug_b.,PD - Cardiovascular hemodynamic (increase),Pharmacodynamics, Cardiovascular hemodynamic 
39,44,drug_a may increase the antiplatelet activities of drug_b.,PD - Haemostasis/coagulation (increase),Pharmacodynamics, Haemostasis/coagulation 
40,45,drug_a may increase the antipsychotic activities of drug_b.,PD - CNS/psychiatric (increase),Pharmacodynamics, CNS/psychiatric 
41,46,drug_a may increase the arrhythmogenic activities of drug_b.,PD - Cardiovascular hemodynamic (increase),Pharmacodynamics, Cardiovascular hemodynamic 
42,47,drug_a may increase the atrioventricular blocking (AV block) activities of drug_b.,PD - Cardiovascular hemodynamic (increase),Pharmacodynamics, Cardiovascular hemodynamic 
43,48,drug_a may increase the bradycardic activities of drug_b.,PD - Cardiovascular hemodynamic (increase),Pharmacodynamics, Cardiovascular hemodynamic 
44,49,drug_a may increase the bronchoconstrictory activities of drug_b.,PD - Respiratory (increase),Pharmacodynamics, Respiratory 
45,50,drug_a may increase the central nervous system depressant (CNS depressant) activities of drug_b.,PD - CNS/psychiatric (increase),Pharmacodynamics, CNS/psychiatric 
46,53,drug_a may increase the hypercalcemic activities of drug_b.,PD - Calcium/metabolic (increase),Pharmacodynamics, Calcium/metabolic 
47,54,drug_a may increase the hyperkalemic activities of drug_b.,PD - Renal/electrolyte (increase),Pharmacodynamics, Renal/electrolyte 
48,55,drug_a may increase the hypertensive activities of drug_b.,PD - Cardiovascular hemodynamic (increase),Pharmacodynamics, Cardiovascular hemodynamic 
49,56,drug_a may increase the hypoglycemic activities of drug_b.,PD - Metabolic/endocrine (increase),Pharmacodynamics, Metabolic/endocrine 
50,57,drug_a may increase the hypokalemic activities of drug_b.,PD - Renal/electrolyte (increase),Pharmacodynamics, Renal/electrolyte 
51,58,drug_a may increase the hypotensive activities of drug_b.,PD - Cardiovascular hemodynamic (increase),Pharmacodynamics, Cardiovascular hemodynamic 
52,59,drug_a may increase the hypotensive and central nervous system depressant (CNS depressant) activities of drug_b.,PD - Cardiovascular hemodynamic (increase),Pharmacodynamics, Cardiovascular hemodynamic 
53,60,drug_a may increase the immunosuppressive activities of drug_b.,PD - Immune/immunosuppression (increase),Pharmacodynamics, Immune/immunosuppression 
54,62,drug_a may increase the myopathic rhabdomyolysis activities of drug_b.,PD - Other activity (increase),Pharmacodynamics, Other activity 
55,63,drug_a may increase the neuroexcitatory activities of drug_b.,PD - CNS/psychiatric (increase),Pharmacodynamics, CNS/psychiatric 
56,64,drug_a may increase the neuromuscular blocking activities of drug_b.,PD - CNS/psychiatric (increase),Pharmacodynamics, CNS/psychiatric 
57,65,drug_a may increase the orthostatic hypotensive activities of drug_b.,PD - Cardiovascular hemodynamic (increase),Pharmacodynamics, Cardiovascular hemodynamic 
58,66,drug_a may increase the QTc-prolonging activities of drug_b.,PD - Cardiovascular hemodynamic (increase),Pharmacodynamics, Cardiovascular hemodynamic 
59,67,drug_a may increase the sedative activities of drug_b.,PD - CNS/psychiatric (increase),Pharmacodynamics, CNS/psychiatric 
60,68,drug_a may increase the serotonergic activities of drug_b.,PD - CNS/psychiatric (increase),Pharmacodynamics, CNS/psychiatric 
61,69,drug_a may increase the tachycardic activities of drug_b.,PD - Cardiovascular hemodynamic (increase),Pharmacodynamics, Cardiovascular hemodynamic 
62,70,drug_a may increase the thrombogenic activities of drug_b.,PD - Other activity (increase),Pharmacodynamics, Other activity 
63,71,drug_a may increase the vasoconstricting activities of drug_b.,PD - Cardiovascular hemodynamic (increase),Pharmacodynamics, Cardiovascular hemodynamic 
64,72,drug_a may increase the vasodilatory activities of drug_b.,PD - Other activity (increase),Pharmacodynamics, Other activity 
65,73,drug_a may increase the vasopressor activities of drug_b.,PD - Cardiovascular hemodynamic (increase),Pharmacodynamics, Cardiovascular hemodynamic 
66,74,drug_a may decrease the hypertensive activities of drug_b.,PD - Cardiovascular hemodynamic (decrease),Pharmacodynamics, Cardiovascular hemodynamic 
67,75,drug_a may decrease the hypoglycemic activities of drug_b.,PD - Metabolic/endocrine (decrease),Pharmacodynamics, Metabolic/endocrine 
68,77,drug_a may increase the alpha-adrenergic activities of drug_b.,PD - Other activity (increase),Pharmacodynamics, Other activity 
69,86,The risk or severity of hypotension and priapism can be increased when drug_b is combined with drug_a.,Clinical event - Blood pressure/hemodynamic,Clinical event , Blood pressure/hemodynamic
70,97,The risk or severity of sedation and orthostatic hypotension can be increased when drug_a is combined with drug_b.,Clinical event - Blood pressure/hemodynamic,Clinical event , Blood pressure/hemodynamic
71,104,The risk or severity of Thrombosis can be increased when drug_a is combined with drug_b.,Clinical event - Haemorrhage/coagulation,Clinical event , Haemorrhage/coagulation
72,108,The risk or severity of weight gain and edema formation can be increased when drug_b is combined with drug_a.,Clinical event - Weight gain/edema,Clinical event , Weight gain/edema
73,110,drug_a may decrease the hypotensive activities of drug_b.,PD - Cardiovascular hemodynamic (decrease),Pharmacodynamics, Cardiovascular hemodynamic 
74,111,drug_a may increase the atrioventricular blocking (AV block) and arrhythmogenic activities of drug_b.,PD - Cardiovascular hemodynamic (increase),Pharmacodynamics, Cardiovascular hemodynamic 
75,112,drug_a may increase the cardiodepressant activities of drug_b.,PD - Cardiovascular hemodynamic (increase),Pharmacodynamics, Cardiovascular hemodynamic 
76,113,drug_a may increase the Change in thyroid function activities of drug_b.,PD - Other activity (increase),Pharmacodynamics, Other activity 
77,114,drug_a may increase the diuretic activities of drug_b.,PD - Diuretic/renal (increase),Pharmacodynamics, Diuretic/renal 
78,115,drug_a may increase the hypertensive and vasoconstricting activities of drug_b.,PD - Cardiovascular hemodynamic (increase),Pharmacodynamics, Cardiovascular hemodynamic 
79,116,drug_a may increase the hypolipidaemic activities of drug_b.,PD - Metabolic/endocrine (increase),Pharmacodynamics, Metabolic/endocrine 
80,117,drug_a may increase the hypotensive and Electrolyte Disturbance activities of drug_b.,PD - Cardiovascular hemodynamic (increase),Pharmacodynamics, Cardiovascular hemodynamic 
81,118,drug_a may increase the opioid antagonism activities of drug_b.,PD - Other activity (increase),Pharmacodynamics, Other activity 
82,119,drug_a may increase the orthostatic hypotensive and hypotensive activities of drug_b.,PD - Cardiovascular hemodynamic (increase),Pharmacodynamics, Cardiovascular hemodynamic 
83,120,drug_a may increase the Pseudotumor Cerebri activities of drug_b.,PD - Other activity (increase),Pharmacodynamics, Other activity 
84,121,drug_a may increase the serotonergic and central nervous system depressant (CNS depressant) activities of drug_b.,PD - CNS/psychiatric (increase),Pharmacodynamics, CNS/psychiatric 
85,122,drug_a may increase the smooth muscle relaxing activities of drug_b.,PD - Smooth muscle (increase),Pharmacodynamics, Smooth muscle 
86,123,drug_a may increase the sympathomimetic activities of drug_b.,PD - Other activity (increase),Pharmacodynamics, Other activity 
87,124,The excretion of drug_a can be decreased when combined with drug_b.,PK - Excretion (decrease),Pharmacokinetics, Excretion 
88,125,The excretion of drug_a can be increased when combined with drug_b.,PK - Excretion (increase),Pharmacokinetics, Excretion 
89,126,The risk or severity of adverse effects can be decreased when drug_a is combined with drug_b.,Clinical event - Other/unspecified,Clinical event , Other activity 
90,127,The risk or severity of angioedema can be increased when drug_a is combined with drug_b.,Clinical event - Hypersensitivity/allergy,Clinical event , Hypersensitivity/allergy
91,128,The risk or severity of bleeding and bruising can be increased when drug_a is combined with drug_b.,Clinical event - Haemorrhage/coagulation,Clinical event , Haemorrhage/coagulation
92,129,The risk or severity of bleeding and gastrointestinal bleeding can be increased when drug_a is combined with drug_b.,Clinical event - Haemorrhage/coagulation,Clinical event , Haemorrhage/coagulation
93,130,The risk or severity of bleeding and hemorrhage can be increased when drug_a is combined with drug_b.,Clinical event - Haemorrhage/coagulation,Clinical event , Haemorrhage/coagulation
94,131,The risk or severity of bradycardia can be increased when drug_a is combined with drug_b.,Clinical event - Arrhythmia/QT prolongation,Clinical event , Arrhythmia/QT prolongation
95,132,The risk or severity of Cardiac Arrhythmia and CNS stimulation can be increased when drug_a is combined with drug_b.,Clinical event - Arrhythmia/QT prolongation,Clinical event , Arrhythmia/QT prolongation
96,133,The risk or severity of Cardiac Arrhythmia can be increased when drug_a is combined with drug_b.,Clinical event - Arrhythmia/QT prolongation,Clinical event , Arrhythmia/QT prolongation
97,134,The risk or severity of cardiotoxicity can be increased when drug_a is combined with drug_b.,Clinical event - Other/unspecified,Clinical event , Other activity 
98,135,The risk or severity of cardiovascular complications can be increased when drug_a is combined with drug_b.,Clinical event - Other/unspecified,Clinical event , Other activity 
99,136,The risk or severity of CNS depression and hypotonia can be increased when drug_a is combined with drug_b.,Clinical event - CNS depression/psychiatric,Clinical event , CNS depression/psychiatric
100,137,The risk or severity of CNS depression can be increased when drug_a is combined with drug_b.,Clinical event - CNS depression/psychiatric,Clinical event , CNS depression/psychiatric
101,138,The risk or severity of congestive heart failure and hypotension can be increased when drug_a is combined with drug_b.,Clinical event - Blood pressure/hemodynamic,Clinical event , Blood pressure/hemodynamic
102,139,The risk or severity of constipation can be increased when drug_a is combined with drug_b.,Clinical event - Gastrointestinal,Clinical event , Gastrointestinal
103,140,The risk or severity of cytopenia can be increased when drug_a is combined with drug_b.,Clinical event - Other/unspecified,Clinical event , Other activity 
104,141,The risk or severity of dehydration can be increased when drug_a is combined with drug_b.,Clinical event - Other/unspecified,Clinical event , Other activity 
105,142,The risk or severity of drug_a syndrome can be increased when drug_a is combined with drug_b.,Clinical event - Other/unspecified,Clinical event , Other activity 
106,143,The risk or severity of drug_a syndrome can be increased when drug_b is combined with drug_a.,Clinical event - Other/unspecified,Clinical event , Other activity 
107,144,The risk or severity of edema formation can be increased when drug_a is combined with drug_b.,Clinical event - Weight gain/edema,Clinical event , Weight gain/edema
108,145,The risk or severity of electrolyte abnormality can be increased when drug_a is combined with drug_b.,Clinical event - Other/unspecified,Clinical event , Other activity 
109,146,The risk or severity of electrolyte imbalance can be increased when drug_a is combined with drug_b.,Clinical event - Other/unspecified,Clinical event , Other activity 
110,147,The risk or severity of elevated intracranial pressure can be increased when drug_a is combined with drug_b.,Clinical event - Other/unspecified,Clinical event , Other activity 
111,148,The risk or severity of extrapyramidal symptoms and CNS depression can be increased when drug_a is combined with drug_b.,Clinical event - CNS depression/psychiatric,Clinical event , CNS depression/psychiatric
112,149,The risk or severity of extrapyramidal symptoms can be increased when drug_a is combined with drug_b.,Clinical event - Other/unspecified,Clinical event , Other activity 
113,150,The risk or severity of fluid retention can be increased when drug_a is combined with drug_b.,Clinical event - Other/unspecified,Clinical event , Other activity 
114,151,The risk or severity of gastrointestinal bleeding and thrombocytopenia can be increased when drug_a is combined with drug_b.,Clinical event - Haemorrhage/coagulation,Clinical event , Haemorrhage/coagulation
115,152,The risk or severity of gastrointestinal bleeding can be increased when drug_a is combined with drug_b.,Clinical event - Haemorrhage/coagulation,Clinical event , Haemorrhage/coagulation
116,153,The risk or severity of gastrointestinal irritation can be increased when drug_a is combined with drug_b.,Clinical event - Gastrointestinal,Clinical event , Gastrointestinal
117,155,The risk or severity of granulocytopenia can be increased when drug_a is combined with drug_b.,Clinical event - Other/unspecified,Clinical event , Other activity 
118,156,The risk or severity of hemorrhage can be increased when drug_a is combined with drug_b.,Clinical event - Haemorrhage/coagulation,Clinical event , Haemorrhage/coagulation
119,157,The risk or severity of hypercalcemia can be increased when drug_a is combined with drug_b.,Clinical event - Other/unspecified,Clinical event , Other activity 
120,158,The risk or severity of hyperglycemia can be increased when drug_a is combined with drug_b.,Clinical event - Other/unspecified,Clinical event , Other activity 
121,159,The risk or severity of hypersensitivity reaction can be increased when drug_a is combined with drug_b.,Clinical event - Hypersensitivity/allergy,Clinical event , Hypersensitivity/allergy
122,160,The risk or severity of hypertension and Tachycardia can be increased when drug_a is combined with drug_b.,Clinical event - Arrhythmia/QT prolongation,Clinical event , Arrhythmia/QT prolongation
123,161,The risk or severity of hypertension and tardive dyskinesia can be increased when drug_a is combined with drug_b.,Clinical event - Blood pressure/hemodynamic,Clinical event , Blood pressure/hemodynamic
124,162,The risk or severity of hyperthermia and oligohydrosis can be increased when drug_a is combined with drug_b.,Clinical event - Other/unspecified,Clinical event , Other activity 
125,163,The risk or severity of hypocalcemia can be increased when drug_a is combined with drug_b.,Clinical event - Other/unspecified,Clinical event , Other activity 
126,164,The risk or severity of hypoglycemia can be increased when drug_a is combined with drug_b.,Clinical event - Other/unspecified,Clinical event , Other activity 
127,165,The risk or severity of hypokalemia can be increased when drug_a is combined with drug_b.,Clinical event - Other/unspecified,Clinical event , Other activity 
128,166,The risk or severity of hyponatremia can be increased when drug_a is combined with drug_b.,Clinical event - Other/unspecified,Clinical event , Other activity 
129,167,The risk or severity of hypotension and CNS depression can be increased when drug_a is combined with drug_b.,Clinical event - Blood pressure/hemodynamic,Clinical event , Blood pressure/hemodynamic
130,169,The risk or severity of hypotension and orthostatic hypotension can be increased when drug_a is combined with drug_b.,Clinical event - Blood pressure/hemodynamic,Clinical event , Blood pressure/hemodynamic
131,170,The risk or severity of hypotension and syncope can be increased when drug_a is combined with drug_b.,Clinical event - Arrhythmia/QT prolongation,Clinical event , Arrhythmia/QT prolongation
132,171,The risk or severity of immunosuppression can be increased when drug_a is combined with drug_b.,Clinical event - Infection/immunosuppression,Clinical event , Infection/immunosuppression
133,172,The risk or severity of jaw osteonecrosis and anti-angiogenesis can be increased when drug_a is combined with drug_b.,Clinical event - Other/unspecified,Clinical event , Other activity 
134,173,The risk or severity of lactic acidosis can be increased when drug_a is combined with drug_b.,Clinical event - Other/unspecified,Clinical event , Other activity 
135,174,The risk or severity of liver damage can be increased when drug_a is combined with drug_b.,Clinical event - Other/unspecified,Clinical event , Other activity 
136,175,The risk or severity of liver enzyme elevations can be increased when drug_a is combined with drug_b.,Clinical event - Other/unspecified,Clinical event , Other activity 
137,176,The risk or severity of metabolic acidosis can be increased when drug_a is combined with drug_b.,Clinical event - Other/unspecified,Clinical event , Other activity 
138,177,The risk or severity of methemoglobinemia can be increased when drug_a is combined with drug_b.,Clinical event - Other/unspecified,Clinical event , Other activity 
139,178,The risk or severity of myelosuppression can be increased when drug_a is combined with drug_b.,Clinical event - Other/unspecified,Clinical event , Other activity 
140,179,The risk or severity of myocardial depression can be increased when drug_a is combined with drug_b.,Clinical event - CNS depression/psychiatric,Clinical event , CNS depression/psychiatric
141,180,The risk or severity of myopathy and rhabdomyolysis can be increased when drug_a is combined with drug_b.,Clinical event - Renal/musculoskeletal,Clinical event , Renal/musculoskeletal
142,181,The risk or severity of myopathy and weakness can be increased when drug_a is combined with drug_b.,Clinical event - Other/unspecified,Clinical event , Other activity 
143,182,The risk or severity of myopathy can be increased when drug_a is combined with drug_b.,Clinical event - Other/unspecified,Clinical event , Other activity 
144,183,The risk or severity of nephrotoxicity and hypocalcemia can be increased when drug_a is combined with drug_b.,Clinical event - Renal/musculoskeletal,Clinical event , Renal/musculoskeletal
145,184,The risk or severity of nephrotoxicity can be increased when drug_a is combined with drug_b.,Clinical event - Renal/musculoskeletal,Clinical event , Renal/musculoskeletal
146,185,The risk or severity of neuromuscular blockade can be increased when drug_a is combined with drug_b.,Clinical event - Other/unspecified,Clinical event , Other activity 
147,186,The risk or severity of neutropenia and thrombocytopenia can be increased when drug_a is combined with drug_b.,Clinical event - Haemorrhage/coagulation,Clinical event , Haemorrhage/coagulation
148,187,The risk or severity of neutropenia can be increased when drug_a is combined with drug_b.,Clinical event - Infection/immunosuppression,Clinical event , Infection/immunosuppression
149,188,The risk or severity of orthostatic hypotension and dizziness can be increased when drug_a is combined with drug_b.,Clinical event - Blood pressure/hemodynamic,Clinical event , Blood pressure/hemodynamic
150,189,The risk or severity of orthostatic hypotension and syncope can be increased when drug_a is combined with drug_b.,Clinical event - Arrhythmia/QT prolongation,Clinical event , Arrhythmia/QT prolongation
151,190,The risk or severity of orthostatic hypotension can be increased when drug_a is combined with drug_b.,Clinical event - Blood pressure/hemodynamic,Clinical event , Blood pressure/hemodynamic
152,191,The risk or severity of osteomalacia can be increased when drug_a is combined with drug_b.,Clinical event - Other/unspecified,Clinical event , Other activity 
153,192,The risk or severity of ototoxicity and nephrotoxicity can be increased when drug_a is combined with drug_b.,Clinical event - Renal/musculoskeletal,Clinical event , Renal/musculoskeletal
154,194,The risk or severity of QTc prolongation and torsade de pointes can be increased when drug_a is combined with drug_b.,Clinical event - Arrhythmia/QT prolongation,Clinical event , Arrhythmia/QT prolongation
155,195,The risk or severity of QTc prolongation can be decreased when drug_a is combined with drug_b.,Clinical event - Arrhythmia/QT prolongation,Clinical event , Arrhythmia/QT prolongation
156,196,The risk or severity of renal failure and hypotension can be increased when drug_a is combined with drug_b.,Clinical event - Blood pressure/hemodynamic,Clinical event , Blood pressure/hemodynamic
157,197,The risk or severity of renal failure can be increased when drug_a is combined with drug_b.,Clinical event - Renal/musculoskeletal,Clinical event , Renal/musculoskeletal
158,198,The risk or severity of respiratory depression can be increased when drug_a is combined with drug_b.,Clinical event - CNS depression/psychiatric,Clinical event , CNS depression/psychiatric
159,199,The risk or severity of rhabdomyolysis can be increased when drug_a is combined with drug_b.,Clinical event - Renal/musculoskeletal,Clinical event , Renal/musculoskeletal
160,200,The risk or severity of sedation and CNS depression can be increased when drug_a is combined with drug_b.,Clinical event - CNS depression/psychiatric,Clinical event , CNS depression/psychiatric
161,201,The risk or severity of sedation and somnolence can be increased when drug_a is combined with drug_b.,Clinical event - CNS depression/psychiatric,Clinical event , CNS depression/psychiatric
162,202,The risk or severity of sedation can be increased when drug_a is combined with drug_b.,Clinical event - CNS depression/psychiatric,Clinical event , CNS depression/psychiatric
163,203,The risk or severity of seizure can be increased when drug_a is combined with drug_b.,Clinical event - Seizure,Clinical event , Seizure
164,204,The risk or severity of serotonin syndrome and hypomania can be increased when drug_a is combined with drug_b.,Clinical event - Serotonin syndrome,Clinical event , Serotonin syndrome
165,206,The risk or severity of serotonin syndrome and opioid toxicity can be increased when drug_a is combined with drug_b.,Clinical event - Serotonin syndrome,Clinical event , Serotonin syndrome
166,207,The risk or severity of serotonin syndrome and seizure can be increased when drug_a is combined with drug_b.,Clinical event - Serotonin syndrome,Clinical event , Serotonin syndrome
167,208,The risk or severity of serotonin syndrome can be decreased when drug_a is combined with drug_b.,Clinical event - Serotonin syndrome,Clinical event , Serotonin syndrome
168,209,The risk or severity of serotonin syndrome can be increased when drug_a is combined with drug_b.,Clinical event - Serotonin syndrome,Clinical event , Serotonin syndrome
169,210,The risk or severity of Tachycardia and drowsiness can be increased when drug_a is combined with drug_b.,Clinical event - Arrhythmia/QT prolongation,Clinical event , Arrhythmia/QT prolongation
170,211,The risk or severity of Tachycardia can be increased when drug_a is combined with drug_b.,Clinical event - Arrhythmia/QT prolongation,Clinical event , Arrhythmia/QT prolongation
171,212,The risk or severity of tendinopathy can be increased when drug_a is combined with drug_b.,Clinical event - Renal/musculoskeletal,Clinical event , Renal/musculoskeletal
172,213,The risk or severity of thrombocytopenia can be increased when drug_a is combined with drug_b.,Clinical event - Haemorrhage/coagulation,Clinical event , Haemorrhage/coagulation
173,214,The risk or severity of ulceration can be increased when drug_a is combined with drug_b.,Clinical event - Gastrointestinal,Clinical event , Gastrointestinal
174,215,The risk or severity of urinary retention and constipation can be increased when drug_a is combined with drug_b.,Clinical event - Renal/musculoskeletal,Clinical event , Renal/musculoskeletal
175,216,The risk or severity of urinary retention can be increased when drug_a is combined with drug_b.,Clinical event - Renal/musculoskeletal,Clinical event , Renal/musculoskeletal
176,217,The risk or severity of vasospastic reactions can be increased when drug_a is combined with drug_b.,Clinical event - Blood pressure/hemodynamic,Clinical event , Blood pressure/hemodynamic
177,218,The risk or severity of ventricular arrhythmias and Cardiac Arrhythmia can be increased when drug_a is combined with drug_b.,Clinical event - Arrhythmia/QT prolongation,Clinical event , Arrhythmia/QT prolongation
