class,class_goc,converted_interaction
108,145,The risk or severity of electrolyte abnormality can be increased when drug_a is combined with drug_b.
109,146,The risk or severity of electrolyte imbalance can be increased when drug_a is combined with drug_b.
110,147,The risk or severity of elevated intracranial pressure can be increased when drug_a is combined with drug_b.
111,148,The risk or severity of extrapyramidal symptoms and CNS depression can be increased when drug_a is combined with drug_b.
112,149,The risk or severity of extrapyramidal symptoms can be increased when drug_a is combined with drug_b.
113,150,The risk or severity of fluid retention can be increased when drug_a is combined with drug_b.
114,151,The risk or severity of gastrointestinal bleeding and thrombocytopenia can be increased when drug_a is combined with drug_b.
115,152,The risk or severity of gastrointestinal bleeding can be increased when drug_a is combined with drug_b.
116,153,The risk or severity of gastrointestinal irritation can be increased when drug_a is combined with drug_b.
117,155,The risk or severity of granulocytopenia can be increased when drug_a is combined with drug_b.
118,156,The risk or severity of hemorrhage can be increased when drug_a is combined with drug_b.
119,157,The risk or severity of hypercalcemia can be increased when drug_a is combined with drug_b.
120,158,The risk or severity of hyperglycemia can be increased when drug_a is combined with drug_b.
121,159,The risk or severity of hypersensitivity reaction can be increased when drug_a is combined with drug_b.
122,160,The risk or severity of hypertension and Tachycardia can be increased when drug_a is combined with drug_b.
123,161,The risk or severity of hypertension and tardive dyskinesia can be increased when drug_a is combined with drug_b.
124,162,The risk or severity of hyperthermia and oligohydrosis can be increased when drug_a is combined with drug_b.
125,163,The risk or severity of hypocalcemia can be increased when drug_a is combined with drug_b.
126,164,The risk or severity of hypoglycemia can be increased when drug_a is combined with drug_b.
127,165,The risk or severity of hypokalemia can be increased when drug_a is combined with drug_b.
128,166,The risk or severity of hyponatremia can be increased when drug_a is combined with drug_b.
129,167,The risk or severity of hypotension and CNS depression can be increased when drug_a is combined with drug_b.
130,169,The risk or severity of hypotension and orthostatic hypotension can be increased when drug_a is combined with drug_b.
131,170,The risk or severity of hypotension and syncope can be increased when drug_a is combined with drug_b.
132,171,The risk or severity of immunosuppression can be increased when drug_a is combined with drug_b.
133,172,The risk or severity of jaw osteonecrosis and anti-angiogenesis can be increased when drug_a is combined with drug_b.
134,173,The risk or severity of lactic acidosis can be increased when drug_a is combined with drug_b.
135,174,The risk or severity of liver damage can be increased when drug_a is combined with drug_b.
136,175,The risk or severity of liver enzyme elevations can be increased when drug_a is combined with drug_b.
137,176,The risk or severity of metabolic acidosis can be increased when drug_a is combined with drug_b.
138,177,The risk or severity of methemoglobinemia can be increased when drug_a is combined with drug_b.
139,178,The risk or severity of myelosuppression can be increased when drug_a is combined with drug_b.
140,179,The risk or severity of myocardial depression can be increased when drug_a is combined with drug_b.
141,180,The risk or severity of myopathy and rhabdomyolysis can be increased when drug_a is combined with drug_b.
142,181,The risk or severity of myopathy and weakness can be increased when drug_a is combined with drug_b.
143,182,The risk or severity of myopathy can be increased when drug_a is combined with drug_b.
144,183,The risk or severity of nephrotoxicity and hypocalcemia can be increased when drug_a is combined with drug_b.
145,184,The risk or severity of nephrotoxicity can be increased when drug_a is combined with drug_b.
146,185,The risk or severity of neuromuscular blockade can be increased when drug_a is combined with drug_b.
147,186,The risk or severity of neutropenia and thrombocytopenia can be increased when drug_a is combined with drug_b.
148,187,The risk or severity of neutropenia can be increased when drug_a is combined with drug_b.
149,188,The risk or severity of orthostatic hypotension and dizziness can be increased when drug_a is combined with drug_b.
150,189,The risk or severity of orthostatic hypotension and syncope can be increased when drug_a is combined with drug_b.
151,190,The risk or severity of orthostatic hypotension can be increased when drug_a is combined with drug_b.
152,191,The risk or severity of osteomalacia can be increased when drug_a is combined with drug_b.
153,192,The risk or severity of ototoxicity and nephrotoxicity can be increased when drug_a is combined with drug_b.
154,194,The risk or severity of QTc prolongation and torsade de pointes can be increased when drug_a is combined with drug_b.
155,195,The risk or severity of QTc prolongation can be decreased when drug_a is combined with drug_b.
156,196,The risk or severity of renal failure and hypotension can be increased when drug_a is combined with drug_b.
157,197,The risk or severity of renal failure can be increased when drug_a is combined with drug_b.
158,198,The risk or severity of respiratory depression can be increased when drug_a is combined with drug_b.
159,199,The risk or severity of rhabdomyolysis can be increased when drug_a is combined with drug_b.
160,200,The risk or severity of sedation and CNS depression can be increased when drug_a is combined with drug_b.
161,201,The risk or severity of sedation and somnolence can be increased when drug_a is combined with drug_b.
162,202,The risk or severity of sedation can be increased when drug_a is combined with drug_b.
163,203,The risk or severity of seizure can be increased when drug_a is combined with drug_b.
164,204,The risk or severity of serotonin syndrome and hypomania can be increased when drug_a is combined with drug_b.
165,206,The risk or severity of serotonin syndrome and opioid toxicity can be increased when drug_a is combined with drug_b.
166,207,The risk or severity of serotonin syndrome and seizure can be increased when drug_a is combined with drug_b.
167,208,The risk or severity of serotonin syndrome can be decreased when drug_a is combined with drug_b.
168,209,The risk or severity of serotonin syndrome can be increased when drug_a is combined with drug_b.
169,210,The risk or severity of Tachycardia and drowsiness can be increased when drug_a is combined with drug_b.
170,211,The risk or severity of Tachycardia can be increased when drug_a is combined with drug_b.
171,212,The risk or severity of tendinopathy can be increased when drug_a is combined with drug_b.
172,213,The risk or severity of thrombocytopenia can be increased when drug_a is combined with drug_b.
173,214,The risk or severity of ulceration can be increased when drug_a is combined with drug_b.
174,215,The risk or severity of urinary retention and constipation can be increased when drug_a is combined with drug_b.
175,216,The risk or severity of urinary retention can be increased when drug_a is combined with drug_b.
176,217,The risk or severity of vasospastic reactions can be increased when drug_a is combined with drug_b.
177,218,The risk or severity of ventricular arrhythmias and Cardiac Arrhythmia can be increased when drug_a is combined with drug_b.
